Pixel Indices
28237472
28237473
28237474
28237475
28237476
28237477
28237478
28237479
28237480
28237481
28237482
28237483
28237484
28237485
28237486
28237487
28237488
28237796
28237797
28237798
28237799
28237800
28237801
28237802
28237803
28237804
28237805
28237806
28237807
28237808
28237809
28237810
28237811
28237812
28245663
28245664
28245665
28245666
28245667
28245668
28245669
28245670
28245671
28245672
28245673
28245674
28245675
28245676
28245677
28245678
28245679
28245680
28245681
28245682
28245683
28245684
28245685
28245686
28245687
28245688
28245689
28245690
28245691
28245692
28245693
28245694
28245695
28245696
28245697
28245698
28245699
28245700
28245701
28245702
28245703
28245704
28245705
28245706
28245707
28245708
28245709
28245710
28245711
28245712
28245713
28245954
28245955
28245956
28245957
28245958
28245959
28245960
28245961
28245962
28245963
28245964
28245965
28245966
28245967
28245968
28245969
28245970
28245971
28245972
28245973
28245974
28245975
28245976
28245977
28245978
28245979
28245980
28245981
28245982
28245983
28245984
28245985
28245986
28245987
28245988
28245989
28245990
28245991
28245992
28245993
28245994
28245995
28245996
28245997
28245998
28245999
28246000
28246001
28246002
28246003
28246004
28253856
28253857
28253858
28253859
28253860
28253861
28253862
28253863
28253864
28253865
28253866
28253867
28253868
28253869
28253870
28253871
28253872
28253873
28253874
28253875
28253876
28253877
28253878
28253879
28253880
28253881
28253882
28253883
28253884
28253885
28253886
28253887
28253888
28253889
28253890
28253891
28253892
28253893
28253894
28253895
28253896
28253897
28253898
28253899
28253900
28253901
28253902
28253903
28253904
28253905
28253906
28253907
28253908
28253909
28253910
28253911
28253912
28253913
28253914
28253915
28253916
28253917
28253918
28253919
28253920
28253921
28253922
28253923
28253924
28253925
28253926
28253927
28253928
28253929
28253930
28253931
28253932
28253933
28253934
28253935
28253936
28253937
28253938
28253939
28253940
28253941
28253942
28253943
28253944
28253945
28253946
28253947
28253948
28253949
28253950
28253951
28253952
28253953
28253954
28254098
28254099
28254100
28254101
28254102
28254103
28254104
28254105
28254106
28254107
28254108
28254109
28254110
28254111
28254112
28254113
28254114
28254115
28254116
28254117
28254118
28254119
28254120
28254121
28254122
28254123
28254124
28254125
28254126
28254127
28254128
28254129
28254130
28254131
28254132
28254133
28254134
28254135
28254136
28254137
28254138
28254139
28254140
28254141
28254142
28254143
28254144
28254145
28254146
28254147
28254148
28254149
28254150
28254151
28254152
28254153
28254154
28254155
28254156
28254157
28254158
28254159
28254160
28254161
28254162
28254163
28254164
28254165
28254166
28254167
28254168
28254169
28254170
28254171
28254172
28254173
28254174
28254175
28254176
28254177
28254178
28254179
28254180
28254181
28254182
28254183
28254184
28254185
28254186
28254187
28254188
28254189
28254190
28254191
28254192
28254193
28254194
28254195
28254196
28262047
28262048
28262049
28262050
28262051
28262052
28262053
28262054
28262055
28262056
28262057
28262058
28262059
28262060
28262061
28262062
28262063
28262064
28262065
28262066
28262067
28262068
28262069
28262070
28262071
28262072
28262073
28262074
28262075
28262076
28262077
28262078
28262079
28262080
28262081
28262082
28262083
28262084
28262085
28262086
28262087
28262088
28262089
